date,Yearly rate (%),New mortgages,New mortgage amount (millions)
2019-01-01,10.0,2452,4624.0
2019-02-01,10.37,3113,5960.0
2019-03-01,10.54,3077,6074.0
2019-04-01,10.64,3245,6172.0
2019-05-01,10.63,2681,5251.0
2019-06-01,10.41,3069,5846.0
2019-07-01,10.28,3119,5947.0
2019-08-01,10.01,3437,6777.0
2019-09-01,9.74,3450,6984.0
2019-10-01,9.55,3679,7572.0
2019-11-01,9.3,3892,7740.0
2019-12-01,9.16,4858,10053.0
2020-01-01,9.12,2468,5181.0
2020-02-01,8.97,3437,6936.0
2020-03-01,8.93,3931,8376.0
2020-04-01,8.83,2530,5272.0
2020-05-01,7.99,3117,6901.0
2020-06-01,7.76,4251,8652.0
2020-07-01,7.47,4819,10170.0
2020-08-01,7.35,4976,10380.0
2020-09-01,7.42,6229,13502.0
2020-10-01,7.38,6813,15134.0
2020-11-01,7.35,6166,13911.0
2020-12-01,7.47,6825,15747.0
2021-01-01,7.36,3304,7777.0
2021-02-01,7.3,4889,11561.0
2021-03-01,7.31,5841,14485.0
2021-04-01,7.33,6627,16856.0
2021-05-01,7.37,5275,14073.0
2021-06-01,7.34,6238,17374.0
2021-07-01,7.94,5079,14501.0
2021-08-01,8.12,4781,14027.0
2021-09-01,8.18,4587,14098.0
2021-10-01,8.21,4652,14807.0
2021-11-01,8.12,4322,14002.0
2021-12-01,7.99,5637,19063.0
2022-01-01,7.8,2941,10268.0
2022-02-01,8.16,3983,15200.0
2022-03-01,7.75,5268,17615.0
2022-04-01,6.45,1868,6609.0
2022-05-01,5.95,1416,5761.0
2022-06-01,5.06,2450,10170.0
2022-07-01,5.4,3367,14178.0
2022-08-01,5.91,4375,18930.0
2022-09-01,5.76,4875,21034.0
2022-10-01,6.12,4657,19885.0
2022-11-01,6.06,4770,20509.0
2022-12-01,5.1,7624,35981.0
2023-01-01,6.18,3433,15490.0
2023-02-01,6.68,4497,20275.0
2023-03-01,6.87,6109,27325.0
2023-04-01,7.89,5597,24007.0
2023-05-01,7.81,6113,26181.0
2023-06-01,7.91,6252,26577.0
2023-07-01,7.75,6318,27183.0
2023-08-01,7.48,8166,36083.0
2023-09-01,7.22,9283,41091.0
2023-10-01,7.46,8599,37376.0
2023-11-01,7.19,7906,33693.0
2023-12-01,7.05,8726,38230.0
2024-01-01,7.66,3429,14079.0
2024-02-01,8.27,3778,14298.0
2024-03-01,7.91,4661,18176.0
2024-04-01,7.8,5401,21938.0
2024-05-01,7.45,5988,23860.0
2024-06-01,7.08,8703,35545.0
2024-07-01,9.66,4131,14486.0
2024-08-01,8.87,3838,15219.0
2024-09-01,8.6,3726,16011.0
2024-10-01,9.0,3475,13903.0
2024-11-01,8.55,2950,11683.0
2024-12-01,8.16,2917,12235.0
2025-01-01,7.8,1255,4755.0
